"Source","Site","SiteName","StateNumber","StateName","GeneralizedStateNumber","GeneralizedStateName","VegUnite","DomSp1","DomSp2","DomSp3","Subdom1","Subdom2","ID","FGUnite","Dom1FG","Dom2FG","Dom3FG"
"EDIT","R042XB011NM","Deep Sand",3,"MesquiteDuneState",6,"Shrubland","PRGL2,RHMI3","PRGL2","RHMI3",NA,NA,NA,29,"shrub,shrub","shrub","shrub",NA
"EDIT","R042XB016NM","Draw",1,"Tobosa-dominatedGrassland",1,"Grassland","PLMU3,SPAI,BOGR2","PLMU3","SPAI","BOGR2","BOCU","BOBA3",30,"PG,PG,PG","PG","PG","PG"
"EDIT","R042XB016NM","Draw",2,"Mesquite-tobosaWoodland",4,"ShrubInvadedGrassland","PRGL2,PLMU3","PRGL2","PLMU3",NA,NA,NA,31,"shrub,PG","shrub","PG",NA
"EDIT","R042XB016NM","Draw",3,"BurrograssGrassland",2,"AlteredGrassland","SCBR2","SCBR2",NA,NA,NA,NA,32,"PG","PG",NA,NA
"EDIT","R042XB016NM","Draw",4,"MesquiteWoodland",6,"Shrubland","PRGL2,SCBR2","PRGL2","SCBR2",NA,NA,NA,33,"shrub,PG","shrub","PG",NA
"EDIT","R042XB016NM","Draw",5,"AnnualDominated",9,"ExoticDominated","annuals","annuals",NA,NA,NA,NA,34,"annuals","annuals",NA,NA
"EDIT","R042XB021NM","Limestone Hills",1,"Grassland/succulent",3,"ShrubSavanna","BOER4,MUPO2,BOCU","BOER4","MUPO2","BOCU","BOGR2","succulent",35,"PG,PG,PG","PG","PG","PG"
"EDIT","R042XB021NM","Limestone Hills",2,"Shrub-succulent",6,"Shrubland","succulent,GUSA2,DAPU7","succulent","GUSA2","DAPU7",NA,NA,36,"subshrub,PG",NA,"subshrub","PG"
"EDIT","R042XB014NM","Loamy",1,"BlackGrama-TobosaGrassland",1,"Grassland","BOER4,PLMU3,ARIST","BOER4","PLMU3","ARIST",NA,NA,37,"PG,PG,PG","PG","PG","PG"
"EDIT","R042XB014NM","Loamy",2,"Burrograss-Tobosa-ThreeawnGrassland",2,"AlteredGrassland","SCBR2,PLMU3,ARIST","SCBR2","PLMU3","ARIST","DAPU7",NA,38,"PG,PG,PG","PG","PG","PG"
"EDIT","R042XB014NM","Loamy",3,"Shrub-invadedGrassland",4,"ShrubInvadedGrassland","PRGL2,FLCE,LATR2","PRGL2","FLCE","LATR2","PLMU3","ARIST",39,"shrub,shrub,shrub","shrub","shrub","shrub"
"EDIT","R042XB014NM","Loamy",4,"Shrub-Dominated",6,"Shrubland","PRGL2,FLCE,LATR2","PRGL2","FLCE","LATR2",NA,NA,40,"shrub,shrub,shrub","shrub","shrub","shrub"
"EDIT","R042XC022NM","Sandhills",1,"Grass/ShrubMix",3,"ShrubSavanna","ANHA,SPGI,SPCO4","ANHA","SPGI","SPCO4","QUHA3","YUGL",41,"PG,PG,PG","PG","PG","PG"
"EDIT","R042XC022NM","Sandhills",2,"SandShinneryOakDominated",6,"Shrubland","QUHA3,ARFI2","QUHA3","ARFI2",NA,NA,NA,42,"shrub,shrub","shrub","shrub",NA
