"SiteName","GeneralizedStateNumber","VegUnite"
"Clayey",7,"PLMU3,SCBR2,FLCE"
"Clayey",7,"SCBR2,FLCE,PRGL2"
"Clayey",7,"SCBR2,PLMU3,LYBE"
"Deep sand",2,"SPFL2,PRGL2,YUEL"
"Deep sand",6,"PRGL2,PSSC6,MUPO2"
"Drainage",0,"PRGL2,ATCA2,SPORO"
"Draw",7,"PLMU3,FLCE,MUAR"
"Draw",7,"PRGL2,SPORO,NA"
"Gravelly",0,"AG,LATR2,PRGL2"
"Gravelly",0,"LATR2,,NA"
"Gravelly",0,"LATR2,BOER4,PAIN2"
"Gravelly",0,"LATR2,FLCE,MUPO2"
"Gravelly",0,"LATR2,FLCE,NA"
"Gyp upland",1,"SPORO,EPHEDRA,NA"
"Gyp upland",7,"SPORO,EPHEDRA,PRGL2"
"Limestone hills",0,"NA,NA,OPUNT"
"Loamy",0,"NA,FLCE,NA"
"Loamy",0,"NA,NA,PRGL2"
"Loamy",0,"PLMU3,PRGL2,NA"
"Loamy",1,"PLMU3,FLCE,ATCA2"
"Loamy",1,"SCBR2,FLCE,KOSP"
"Loamy",4,"FLCE,LATR2,NA"
"Loamy",4,"PLMU3,,NA"
"Loamy",4,"PLMU3,CYIMI,PRGL2"
"Loamy",4,"SCBR2,NA,NA"
"Loamy",6,"PLMU3,PRGL2,NA"
"Loamy",6,"PLMU3,SCBR2,FLCE"
"Loamy",7,"FLCE,MUPO2,SCBR2"
"Loamy",7,"NA,ATR12,NA"
"Loamy",7,"NA,NA,GUSA2"
"Loamy",7,"PLMU3,EPHEDRA,NA"
"Loamy",7,"PLMU3,MUAR,FLCE"
"Loamy",7,"PLMU3,NA,NA"
"Loamy",7,"PLMU3,PRGL2,NA"
"Loamy",7,"PLMU3,SCBR2,NA"
"Loamy",7,"SCBR2,PLMU3,NA"
"Loamy",7,"SCBR2,PRGL2,NA"
"Loamy",7,"SPORO,FLCE,PLMU3"
"Playette",2,"FLCE,LATR2,NA"
"Playette",2,"PRGL2,MUPO2,EPHEDRA"
"Playette",6,"AG,ARPU9,PRGL2"
"Playette",6,"MUPO2,SPFL2,PRGL2"
"Playette",6,"PRGL2,ATCA2,SPFL2"
"Sandy",0,"AG,SPFL2,PRGL2"
"Sandy",0,"annuals,YUEL,PRGL2"
"Sandy",0,"ARPU9,EPHEDRA,PRGL2"
"Sandy",0,"LATR2,FLCE,NA"
"Sandy",0,"LATR2,PRGL2,MUPO2"
"Sandy",0,"MUPO2,PRGL2,DAPU7"
"Sandy",0,"PRGL2,GUSA2,ATCA2"
"Sandy",0,"PRGL2,GUSA2,SPFL2"
"Sandy",0,"PRGL2,MUPO2,GUSA2"
"Sandy",0,"PRGL2,MUPO2,NA"
"Sandy",0,"PRGL2,MUPO2,SPFL2"
"Sandy",0,"PRGL2,SPFL2,"
"Sandy",0,"PRGL2,SPFL2,DAPU7"
"Sandy",0,"PRGL2,SPFL2,MUPO2"
"Sandy",0,"PRGL2,SPFL2,NA"
"Sandy",0,"PRGL2,SPFL2,PF"
"Sandy",0,"PRGL2,SPFL2,YUEL"
"Sandy",0,"PRGL2,SPORO,NA"
"Sandy",0,"SPFL2,,NA"
"Sandy",0,"SPFL2,PRGL2,MUPO2"
"Sandy",0,"SPFL2,PRGL2,YUEL"
"Sandy",1,"BOER4,PRGL2,EPHEDRA"
"Sandy",1,"BOER4,PRGL2,NA"
"Sandy",1,"BOER4,SPFL2,SPCO4"
"Sandy",1,"PRGL2,GUSA2,BOER4"
"Sandy",1,"SPFL2,CYIMI,"
"Sandy",2,"LATR2,SPFL2,MUPO2"
"Sandy",2,"MUPO2,SPFL2,PRGL2"
"Sandy",2,"PRGL2,ATCA2,SPFL2"
"Sandy",2,"PRGL2,GUSA2,SPORO"
"Sandy",2,"PRGL2,GUSA2,YUEL"
"Sandy",2,"PRGL2,MUPO2,LATR2"
"Sandy",2,"PRGL2,SPFL2,ATCA2"
"Sandy",4,"BOER4,GUSA2,SPFL2"
"Sandy",4,"BOER4,PRGL2,SPCO4"
