OBJECTID,VegUnite,GeneralizedStateNumber,ecosite1,ecosite2,ecosite3,FID,Shape..,FID_JERVeg,SUM_Shape_,FID_JER_Ec,SUM_Shape1,Shape_Leng,Shape_Area
152,"PRGL2,GUSA2,BOER4",4,Bottomland,NA,NA,151,Polygon,70,350266.078,1,35299777.56,674.4819,9931.223246
153,"PRGL2,GUSA2,BOER4",3,Deep sand,NA,NA,152,Polygon,70,350266.078,3,119701060,2596.902641,340334.8559
154,"PRGL2,GUSA2,EPHspp",4,Sandy,NA,NA,153,Polygon,71,1717285.191,11,368111095.6,10818.11553,1717285.191
155,"PRGL2,GUSA2,LATR2",5,Deep sand,NA,NA,154,Polygon,72,4235847.713,3,119701060,13942.07828,2204670.387
156,"PRGL2,GUSA2,LATR2",4,Draw,NA,NA,155,Polygon,72,4235847.713,4,6092080.685,5462.065279,249884.2361
157,"PRGL2,GUSA2,LATR2",6,Gravelly,NA,NA,156,Polygon,72,4235847.713,5,53527326.23,1236.803802,35815.49948
158,"PRGL2,GUSA2,LATR2",6,Limestone hills,NA,NA,157,Polygon,72,4235847.713,7,125520706.8,486.147838,9352.481306
159,"PRGL2,GUSA2,LATR2",4,Sandy,NA,NA,158,Polygon,72,4235847.713,11,368111095.6,6390.475616,1736125.113
160,"PRGL2,GUSA2,MUPO2",5,Deep sand,NA,NA,159,Polygon,73,3129760.598,3,119701060,10177.49897,2311905.581
161,"PRGL2,GUSA2,MUPO2",4,Sandy,NA,NA,160,Polygon,73,3129760.598,11,368111095.6,9420.772846,817855.0178
162,"PRGL2,GUSA2,SPORO",3,Deep sand,NA,NA,161,Polygon,74,463100.7749,3,119701060,4442.745859,463100.7749
163,"PRGL2,LATR2,FLCE",4,Sandy,NA,NA,162,Polygon,75,2027614.539,11,368111095.6,9147.173499,2027159.098
164,"PRGL2,LATR2,FLCE",4,Shallow sandy,NA,NA,163,Polygon,75,2027614.539,13,25426676.89,104.468056,455.440591
165,"PRGL2,LATR2,GUSA2",5,Deep sand,NA,NA,164,Polygon,76,1453631.343,3,119701060,5044.196302,654101.4833
166,"PRGL2,LATR2,GUSA2",4,Draw,NA,NA,165,Polygon,76,1453631.343,4,6092080.685,1907.827847,97356.60456
167,"PRGL2,LATR2,GUSA2",4,Sandy,NA,NA,166,Polygon,76,1453631.343,11,368111095.6,5413.232903,702173.256
168,"PRGL2,SPORO,BOER4",3,Deep sand,NA,NA,167,Polygon,77,453711.9853,3,119701060,4587.222235,421692.5417
169,"PRGL2,SPORO,BOER4",4,Sandy,NA,NA,168,Polygon,77,453711.9853,11,368111095.6,730.303665,32019.44359
170,"PRGL2,ATCA2,YUEL",4,Sandy,NA,NA,169,Polygon,78,57880.57273,11,368111095.6,974.96988,57880.57273
171,"PSSC6,ARFI2,YUEL",6,Sandy,NA,NA,170,Polygon,79,918549.7069,11,368111095.6,4728.987331,918549.7069
172,"PSSC6,YUEL,GUSA2",6,Sandy,NA,NA,171,Polygon,80,3251413.547,11,368111095.6,10915.23708,3251413.547
173,"SCBR2,ARIST,BOER4",2,Clayey,NA,NA,172,Polygon,81,14632952.14,2,13244532.45,3706.563234,244074.812
174,"SCBR2,ARIST,BOER4",2,Sandy,NA,NA,173,Polygon,81,14632952.14,11,368111095.6,64897.65689,14388877.33
175,"SCBR2,BOER4,ARIST",2,Sandy,NA,NA,174,Polygon,82,3233519.159,11,368111095.6,14743.47652,3233519.159
176,"SCBR2,BOER4,FLCE",2,Sandy,NA,NA,175,Polygon,83,247558.2597,11,368111095.6,2117.069349,247558.2597
177,"SCBR2,BOER4,MUAR",2,Clayey,NA,NA,176,Polygon,84,6708007.482,2,13244532.45,8365.788805,1155605.094
178,"SCBR2,BOER4,MUAR",2,Sandy,NA,NA,177,Polygon,84,6708007.482,11,368111095.6,26820.68865,5317282.132
179,"SCBR2,BOER4,SPORO",2,Sandy,NA,NA,178,Polygon,85,453117.5707,11,368111095.6,4000.938042,453117.5707
180,"SCBR2,PLMU3,",2,Bottomland,NA,NA,179,Polygon,86,2722416.704,1,35299777.56,10174.07037,528150.0461
181,"SCBR2,PLMU3,",2,Draw,NA,NA,180,Polygon,86,2722416.704,4,6092080.685,398.113947,9718.454645
182,"SCBR2,PLMU3,",2,Gravelly,NA,NA,181,Polygon,86,2722416.704,5,53527326.23,6304.251177,596780.706
183,"SCBR2,PLMU3,",2,Loamy,NA,NA,182,Polygon,86,2722416.704,8,15362815.09,2862.578976,144162.0729
184,"SCBR2,PLMU3,",2,Sandy,NA,NA,183,Polygon,86,2722416.704,11,368111095.6,10412.303,1443605.417
185,"SCBR2,PLMU3,ARIST",2,Sandy,NA,NA,184,Polygon,87,358596.0958,11,368111095.6,4523.069907,358596.0958
186,"SCBR2,PLMU3,BOER4",2,Clayey,NA,NA,185,Polygon,88,2142123.83,2,13244532.45,5204.402825,633239.1204
187,"SCBR2,PLMU3,BOER4",2,Sandy,NA,NA,186,Polygon,88,2142123.83,11,368111095.6,11417.65279,1508884.708
188,"SCBR2,PLMU3,EPHspp",4,Sandy,NA,NA,187,Polygon,89,4277692.622,11,368111095.6,15572.43487,4277692.622
189,"SCBR2,PLMU3,FLCE",2,Clayey,NA,NA,188,Polygon,90,2414943.254,2,13244532.45,749.084381,22736.37785
190,"SCBR2,PLMU3,FLCE",2,Sandy,NA,NA,189,Polygon,90,2414943.254,11,368111095.6,18375.71814,2392206.877
191,"SCBR2,PLMU3,GUSA2",2,Clayey,NA,NA,190,Polygon,91,694919.1368,2,13244532.45,683.297756,21408.58296
192,"SCBR2,PLMU3,GUSA2",4,Sandy,NA,NA,191,Polygon,91,694919.1368,11,368111095.6,7844.038838,673510.5536
193,"SCBR2,PLMU3,MUAR",2,Clayey,NA,NA,192,Polygon,92,2086186.306,2,13244532.45,4709.509791,518521.4164
194,"SCBR2,PLMU3,MUAR",2,Sandy,NA,NA,193,Polygon,92,2086186.306,11,368111095.6,6822.514016,1447978.088
195,"SCBR2,PLMU3,SPAI",2,Bottomland,NA,NA,194,Polygon,93,3162058.12,1,35299777.56,10711.26124,1055140.74
196,"SCBR2,PLMU3,SPAI",2,Gravelly,NA,NA,195,Polygon,93,3162058.12,5,53527326.23,1919.90662,79668.04711
197,"SCBR2,PLMU3,SPAI",2,Loamy,NA,NA,196,Polygon,93,3162058.12,8,15362815.09,2084.563446,63314.84224
