"FID","Shape..","OBJECTID","FID_JERVeg","DOM1","DOM2","DOM3","SUM_Shape_","FID_JER_Ec","ecosite1","SUM_Shape1","Shape_Leng","Shape_Area","Dom1FG","Dom2FG","Dom3FG"
"79","Polygon","80","43","LATR2","FLCE","PLMU3","43342492.31","11","Sandy","368111095.6","63313.38086","26373397.68","shrub","shrub","PG"
"80","Polygon","81","44","LATR2","FLCE","PRGL2","4058201.27","3","Deep sand","119701060","21708.48167","2223131.503","shrub","shrub","shrub"
"81","Polygon","82","44","LATR2","FLCE","PRGL2","4058201.27","4","Draw","6092080.685","314.702739","4395.212262","shrub","shrub","shrub"
"82","Polygon","83","44","LATR2","FLCE","PRGL2","4058201.27","5","Gravelly","53527326.23","5140.812597","1367637.968","shrub","shrub","shrub"
"83","Polygon","84","44","LATR2","FLCE","PRGL2","4058201.27","7","Limestone hills","125520706.8","403.564671","2069.074231","shrub","shrub","shrub"
"84","Polygon","85","44","LATR2","FLCE","PRGL2","4058201.27","11","Sandy","368111095.6","4295.46692","460967.5064","shrub","shrub","shrub"
"85","Polygon","86","45","LATR2","FLCE","PRGL2","2099690.965","11","Sandy","368111095.6","7954.209571","2099690.965","shrub","shrub","shrub"
"86","Polygon","87","46","LATR2","FLCE","SCBR2","977810.0217","1","Bottomland","35299777.56","7557.768061","365609.9572","shrub","shrub","PG"
"87","Polygon","88","46","LATR2","FLCE","SCBR2","977810.0217","3","Deep sand","119701060","5266.901171","612200.0633","shrub","shrub","PG"
"88","Polygon","89","47","LATR2","GUSA2","ERLE","1222034.019","1","Bottomland","35299777.56","2484.961372","48567.01599","shrub","subshrub","Inv"
"89","Polygon","90","47","LATR2","GUSA2","ERLE","1222034.019","8","Loamy","15362815.09","5494.819196","1173467.019","shrub","subshrub","Inv"
"90","Polygon","91","48","LATR2","MUPO2","PRGL2","1829154.863","1","Bottomland","35299777.56","4409.867642","55118.19264","shrub","PG","shrub"
"91","Polygon","92","48","LATR2","MUPO2","PRGL2","1829154.863","4","Draw","6092080.685","2493.316608","20758.46063","shrub","PG","shrub"
"92","Polygon","93","48","LATR2","MUPO2","PRGL2","1829154.863","5","Gravelly","53527326.23","7450.053177","1555559.889","shrub","PG","shrub"
"93","Polygon","94","48","LATR2","MUPO2","PRGL2","1829154.863","8","Loamy","15362815.09","2555.184444","197718.3201","shrub","PG","shrub"
"94","Polygon","95","49","LATR2","MUPO2","PRGL2","188565.3255","3","Deep sand","119701060","2860.615082","188565.3255","shrub","PG","shrub"
"95","Polygon","96","50","LATR2","PLMU3","SCBR2","629345.0185","1","Bottomland","35299777.56","6404.922769","622350.4269","shrub","PG","PG"
"96","Polygon","97","50","LATR2","PLMU3","SCBR2","629345.0185","5","Gravelly","53527326.23","1453.286734","6994.592117","shrub","PG","PG"
"97","Polygon","98","51","LATR2","PRGL2","COWA","23182.94504","5","Gravelly","53527326.23","1111.778534","23182.94504","shrub","shrub","shrub"
"98","Polygon","99","52","LATR2","PRGL2","FLCE","47405692.14","1","Bottomland","35299777.56","232959.5538","10031955.11","shrub","shrub","shrub"
"99","Polygon","100","52","LATR2","PRGL2","FLCE","47405692.14","3","Deep sand","119701060","12683.15451","1947747.058","shrub","shrub","shrub"
"100","Polygon","101","52","LATR2","PRGL2","FLCE","47405692.14","4","Draw","6092080.685","13253.45992","417145.3674","shrub","shrub","shrub"
"101","Polygon","102","52","LATR2","PRGL2","FLCE","47405692.14","5","Gravelly","53527326.23","81979.94938","12978670.26","shrub","shrub","shrub"
"102","Polygon","103","52","LATR2","PRGL2","FLCE","47405692.14","7","Limestone hills","125520706.8","2301.599862","121248.096","shrub","shrub","shrub"
"103","Polygon","104","52","LATR2","PRGL2","FLCE","47405692.14","8","Loamy","15362815.09","139807.7749","12085205.68","shrub","shrub","shrub"
"104","Polygon","105","52","LATR2","PRGL2","FLCE","47405692.14","11","Sandy","368111095.6","58431.0831","9822489.964","shrub","shrub","shrub"
"105","Polygon","106","53","LATR2","PRGL2"," ","9460687.824","3","Deep sand","119701060","32367.04669","5952961.532","shrub","shrub",NA
"106","Polygon","107","53","LATR2","PRGL2"," ","9460687.824","4","Draw","6092080.685","17968.10874","891419.0033","shrub","shrub",NA
"107","Polygon","108","53","LATR2","PRGL2"," ","9460687.824","11","Sandy","368111095.6","11043.09704","2616306.616","shrub","shrub",NA
"108","Polygon","109","54","LATR2","PRGL2","FLCE","25483520.6","1","Bottomland","35299777.56","13205.12311","1229251.158","shrub","shrub","shrub"
"109","Polygon","110","54","LATR2","PRGL2","FLCE","25483520.6","3","Deep sand","119701060","44040.23455","14602383.04","shrub","shrub","shrub"
"110","Polygon","111","54","LATR2","PRGL2","FLCE","25483520.6","4","Draw","6092080.685","1907.33667","42493.34576","shrub","shrub","shrub"
"111","Polygon","112","54","LATR2","PRGL2","FLCE","25483520.6","5","Gravelly","53527326.23","1329.537279","16340.01953","shrub","shrub","shrub"
"112","Polygon","113","54","LATR2","PRGL2","FLCE","25483520.6","7","Limestone hills","125520706.8","2044.896453","16764.36834","shrub","shrub","shrub"
"113","Polygon","114","54","LATR2","PRGL2","FLCE","25483520.6","11","Sandy","368111095.6","24424.98853","9576288.66","shrub","shrub","shrub"
"114","Polygon","115","55","LATR2","SCBR2"," ","965816.2125","1","Bottomland","35299777.56","7270.631284","778511.0904","shrub","PG",NA
"115","Polygon","116","55","LATR2","SCBR2"," ","965816.2125","5","Gravelly","53527326.23","1464.523314","119244.8327","shrub","PG",NA
"116","Polygon","117","55","LATR2","SCBR2"," ","965816.2125","8","Loamy","15362815.09","3280.492305","60116.43385","shrub","PG",NA
"117","Polygon","118","55","LATR2","SCBR2"," ","965816.2125","11","Sandy","368111095.6","761.518509","7943.853298","shrub","PG",NA
"118","Polygon","119","56","LATR2","THAC","PAIN2","1442818.27","3","Deep sand","119701060","6283.000618","54701.44591","shrub","forb","shrub"
"119","Polygon","120","56","LATR2","THAC","PAIN2","1442818.27","4","Draw","6092080.685","325.934843","897.638267","shrub","forb","shrub"
"120","Polygon","121","56","LATR2","THAC","PAIN2","1442818.27","5","Gravelly","53527326.23","9967.134741","1119884.251","shrub","forb","shrub"
"121","Polygon","122","56","LATR2","THAC","PAIN2","1442818.27","7","Limestone hills","125520706.8","4348.142386","267334.9481","shrub","forb","shrub"
"122","Polygon","123","57","PLMU3"," "," ","397142.9198","2","Clayey","13244532.45","4271.94225","322818.6455","PG",NA,NA
"123","Polygon","124","57","PLMU3"," "," ","397142.9198","11","Sandy","368111095.6","2248.761151","74324.27442","PG",NA,NA
"124","Polygon","125","58","PLMU3","FLCE","SCBR2","1163875.112","11","Sandy","368111095.6","10962.43201","1163875.112","PG","shrub","PG"
"125","Polygon","126","59","PLMU3","MUPO2","FLCE","83113.45844","2","Clayey","13244532.45","1026.419849","46079.36455","PG","PG","shrub"
"126","Polygon","127","59","PLMU3","MUPO2","FLCE","83113.45844","11","Sandy","368111095.6","1053.868324","37034.09319","PG","PG","shrub"
"127","Polygon","128","60","PLMU3","MUPO2","LATR2","427479.9829","5","Gravelly","53527326.23","2005.51579","227114.4775","PG","PG","shrub"
"128","Polygon","129","60","PLMU3","MUPO2","LATR2","427479.9829","11","Sandy","368111095.6","1952.06679","200365.5106","PG","PG","shrub"
"129","Polygon","130","61","PLMU3","PRGL2"," ","189954.2659","11","Sandy","368111095.6","3064.463456","189954.2659","PG","shrub",NA
"130","Polygon","131","62","PLMU3","PRGL2","SCBR2","403110.3252","2","Clayey","13244532.45","4577.055202","306235.455","PG","shrub","PG"
"131","Polygon","132","62","PLMU3","PRGL2","SCBR2","403110.3252","11","Sandy","368111095.6","2938.36442","96874.86969","PG","shrub","PG"
"132","Polygon","133","63","PLMU3","SCBR2"," ","1297601.537","1","Bottomland","35299777.56","1108.931437","41463.6797","PG","PG",NA
"133","Polygon","134","63","PLMU3","SCBR2"," ","1297601.537","2","Clayey","13244532.45","7874.724762","1004225.873","PG","PG",NA
"134","Polygon","135","63","PLMU3","SCBR2"," ","1297601.537","11","Sandy","368111095.6","5374.734561","248580.9569","PG","PG",NA
"135","Polygon","136","64","PLMU3","SCBR2","FLCE","261641.6974","2","Clayey","13244532.45","3899.927547","197717.1075","PG","PG","shrub"
"136","Polygon","137","64","PLMU3","SCBR2","FLCE","261641.6974","11","Sandy","368111095.6","2032.451939","61306.41543","PG","PG","shrub"
"137","Polygon","138","65","PLMU3","SCBR2","LATR2","202752.8872","1","Bottomland","35299777.56","2303.107826","202752.8872","PG","PG","shrub"
"138","Polygon","139","66","PLMU3","SCBR2","OPUNT","1257991.714","11","Sandy","368111095.6","6833.551382","1257991.714","PG","PG","succulent"
"139","Polygon","140","67","PLMU3","SCBR2","PRGL2","1165251.326","1","Bottomland","35299777.56","3159.88709","327554.3064","PG","PG","shrub"
"140","Polygon","141","67","PLMU3","SCBR2","PRGL2","1165251.326","2","Clayey","13244532.45","5495.195897","596680.9422","PG","PG","shrub"
"141","Polygon","142","67","PLMU3","SCBR2","PRGL2","1165251.326","5","Gravelly","53527326.23","3127.246209","92300.38117","PG","PG","shrub"
"142","Polygon","143","67","PLMU3","SCBR2","PRGL2","1165251.326","11","Sandy","368111095.6","3865.292772","129797.5449","PG","PG","shrub"
"143","Polygon","144","68","PLMU3","SCBR2","RHMI3","41597.59015","11","Sandy","368111095.6","1007.904482","41597.59015","PG","PG","shrub"
"144","Polygon","145","69","PLMU3","SCBR2","YUEL","91283.96066","2","Clayey","13244532.45","1419.792873","91283.96066","PG","PG","succulent"
"145","Polygon","146","70","PLMU3","SPAI","PRGL2","138385.6004","11","Sandy","368111095.6","2164.187699","138385.6004","PG","PG","shrub"
"146","Polygon","147","71","PLMU3","SPAI","SCBR2","1583932.87","11","Sandy","368111095.6","9295.762869","1583932.87","PG","PG","PG"
"147","Polygon","148","72","PRGL2","ARPU9","BOER4","3430579.187","11","Sandy","368111095.6","12402.46747","3430579.187","shrub","PG","PG"
"148","Polygon","149","73","PRGL2","ARPU9","GUSA2","1581777.474","11","Sandy","368111095.6","5788.845498","1581777.474","shrub","PG","subshrub"
"149","Polygon","150","74","PRGL2","ARPU9","YUEL","20480.73824","11","Sandy","368111095.6","733.180109","15752.34292","shrub","PG","succulent"
"150","Polygon","151","75","PRGL2","BOER4"," ","2136391.017","11","Sandy","368111095.6","7132.727791","1396876.042","shrub","PG",NA
"151","Polygon","152","75","PRGL2","BOER4"," ","2136391.017","13","Shallow sandy","25426676.89","9628.715595","739514.9744","shrub","PG",NA
"152","Polygon","153","76","PRGL2","BOER4","ARPU9","578165.2687","11","Sandy","368111095.6","3354.400601","578165.2687","shrub","PG","PG"
"153","Polygon","154","77","PRGL2","BOER4","SPFL2","3243984.413","11","Sandy","368111095.6","4527.635195","393878.7561","shrub","PG","PG"
"154","Polygon","155","77","PRGL2","BOER4","SPFL2","3243984.413","13","Shallow sandy","25426676.89","12879.42705","2850105.656","shrub","PG","PG"
