FID,OBJECTID,VegUnite,ZST_DOM,ZND_DOM,ZRD_DOM,ecosite1,FGUnite,Dom1FG,Dom2FG,Dom3FG,esite1type,GSC
184,185,"SCBR2,PLMU3,ARIST",SCBR2,PLMU3,ARIST,Sandy,"PG,PG,PG",PG,PG,PG,1,2
186,187,"SCBR2,PLMU3,BOER4",SCBR2,PLMU3,BOER4,Sandy,"PG,PG,PG",PG,PG,PG,1,2
187,188,"SCBR2,PLMU3,EPHspp",SCBR2,PLMU3,EPHspp,Sandy,"PG,PG,succulent",PG,PG,succulent,1,2
191,192,"SCBR2,PLMU3,GUSA2",SCBR2,PLMU3,GUSA2,Sandy,"PG,PG,subshrub",PG,PG,subshrub,1,2
193,194,"SCBR2,PLMU3,MUAR",SCBR2,PLMU3,MUAR,Sandy,"PG,PG,PG",PG,PG,PG,1,2
197,198,"SCBR2,PLMU3,SPAI",SCBR2,PLMU3,SPAI,Sandy,"PG,PG,PG",PG,PG,PG,1,2
198,199,"SCBR2,SPAI,GUSA2",SCBR2,SPAI,GUSA2,Sandy,"PG,PG,subshrub",PG,PG,subshrub,1,2
202,203,"SCBR2,SPAI,PLMU3",SCBR2,SPAI,PLMU3,Sandy,"PG,PG,PG",PG,PG,PG,1,2
203,204,"SCBR2,SPORO,BOER4",SCBR2,SPORO,BOER4,Sandy,"PG,PG,PG",PG,PG,PG,1,2
206,207,"SPORssp,FLCE,PLMU3",SPORssp,FLCE,PLMU3,Sandy,"shrub,PG",NA,shrub,PG,1,2
69,70,"GUSA2,PLMU3,SCBR2",GUSA2,PLMU3,SCBR2,Shallow sandy,"subshrub,PG,PG",subshrub,PG,PG,1,2
9,10,"BOER4,ARIST,",BOER4,ARIST,,Clayey,"PG,PG",PG,PG,NA,1,1
14,15,"BOER4,ARIST,GUSA2",BOER4,ARIST,GUSA2,Clayey,"PG,PG,subshrub",PG,PG,subshrub,1,1
118,119,"PLMU3,SCBR2,",PLMU3,SCBR2,,Clayey,"PG,PG",PG,PG,NA,1,1
120,121,"PLMU3,SCBR2,MUAR",PLMU3,SCBR2,MUAR,Clayey,"PG,PG,PG",PG,PG,PG,1,1
4,5,"ARIST,BOER4,SPORO",ARIST,BOER4,SPORO,Sandy,"PG,PG,PG",PG,PG,PG,1,1
