OBJECTID1928,ecosite1,ecosite2,ecosite3,VegUnite,GeneralizedStateNum,SiteName,FG1928,SP1915,matches
24,Deep sand,Sandy,Shallow sandy,"PRGL2,BOER4,DAPU7",2,Shallow sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,MUPO2,DAPU7",2,Shallow sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,SPFL2,PF",2,Shallow sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,ATCA2,SPFL2",2,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,GUSA2,SPORO",2,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,GUSA2,YUEL",2,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,MUPO2,LATR2",2,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,SPFL2,ATCA2",2,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,SPORO,ARIST",4,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,ARPU9,NA",4,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,ATCA2,SPFL2",4,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,GUSA2,SPORO",4,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,GUSA2,YUEL",4,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,MUPO2,GUSA2",4,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,MUPO2,LATR2",4,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,MUPO2,SPFL2",4,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,MUPO2,YUEL",4,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,NA,NA",4,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,SPFL2,ATCA2",4,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,SPFL2,DAPU7",4,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,SPFL2,MUPO2",4,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,SPFL2,NA",4,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,SPFL2,PF",4,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,SPFL2,SELE6",4,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,SPFL2,YUEL",4,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,BOER4,DAPU7",4,Shallow sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,MUPO2,DAPU7",4,Shallow sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,SPFL2,PF",4,Shallow sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,GUSA2,ATCA2",4,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,GUSA2,BOER4",4,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,GUSA2,SPFL2",4,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,MUPO2,NA",4,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,SPFL2,",4,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,SPORO,NA",4,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,GUSA2,NA",4,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,PSSC6,MUPO2",5,Deep sand,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,PRGL2,6,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,ATCA2,SPFL2",6,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,GUSA2,ATCA2",6,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,GUSA2,NA",6,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,GUSA2,SPFL2",6,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,MUPO2,NA",6,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,NA,NA",6,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,SPFL2,MUPO2",6,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,SPFL2,SELE6",6,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,SPORO,NA",6,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,GUSA2,SPORO",6,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,GUSA2,YUEL",6,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,MUPO2,LATR2",6,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,SPFL2,ATCA2",6,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,SPFL2,YUEL",6,Sandy,shrub,PRGL2,1
