FID,Shape,OBJECTID,FID_Jornad,ecosite1,ecosite2,ecosite3,SUM_Shape_,FID_JERVeg,DOM1,DOM2,DOM3,SUM_Shape1,Shape_Leng,Shape_Area
138,Polygon,139,16,Gravelly,Shallow sandy, ,10817908.26,44,LATR,FLCE,PRGL,4058201.27,5140.812597,1367637.968
139,Polygon,140,16,Gravelly,Shallow sandy, ,10817908.26,52,LATR,PRGL,FLCE,47405692.14,18357.23242,1877187.726
140,Polygon,141,16,Gravelly,Shallow sandy, ,10817908.26,60,PLMU,MUPO,LATR,427479.9829,2005.51579,227114.4775
141,Polygon,142,18,Limestone hills,No ecosite, ,125520706.8,1,ARFI,PRGLD,ARPU,848488.8688,4494.769729,418422.2513
142,Polygon,143,18,Limestone hills,No ecosite, ,125520706.8,12,DAFO,LATR,COWA,189431.8893,2000.492678,180728.261
143,Polygon,144,18,Limestone hills,No ecosite, ,125520706.8,13,DAFO,LATR,PAIN,813255.1138,4395.021766,520094.9674
144,Polygon,145,18,Limestone hills,No ecosite, ,125520706.8,14,DAFO,PAIN,LATR,568781.1563,3967.982981,453334.5552
145,Polygon,146,18,Limestone hills,No ecosite, ,125520706.8,38,LATR, , ,814026.9469,211.732748,271.702815
146,Polygon,147,18,Limestone hills,No ecosite, ,125520706.8,44,LATR,FLCE,PRGL,4058201.27,403.564671,2069.074231
147,Polygon,148,18,Limestone hills,No ecosite, ,125520706.8,52,LATR,PRGL,FLCE,47405692.14,2301.599862,121248.096
148,Polygon,149,18,Limestone hills,No ecosite, ,125520706.8,54,LATR,PRGLD,FLCE,25483520.6,2044.896453,16764.36834
149,Polygon,150,18,Limestone hills,No ecosite, ,125520706.8,56,LATR,THAC,PAIN,1442818.27,4348.142386,267334.9481
150,Polygon,151,18,Limestone hills,No ecosite, ,125520706.8,102,PRGLD,ARFI,ATCA,1621466.198,6203.439781,332427.6076
151,Polygon,152,18,Limestone hills,No ecosite, ,125520706.8,103,PRGLD,ARFI,QUTU,4103591.474,13789.88703,355250.9301
152,Polygon,153,18,Limestone hills,No ecosite, ,125520706.8,104,PRGLD,ARFI,SPFL,508125.8644,880.478173,17880.45046
153,Polygon,154,18,Limestone hills,No ecosite, ,125520706.8,109,PRGLD,ATCA,GUSA,6681452.926,380.935968,2501.574452
154,Polygon,155,18,Limestone hills,No ecosite, ,125520706.8,131,PRGLSH, , ,455271.0698,79.544661,251.822249
155,Polygon,156,18,Limestone hills,No ecosite, ,125520706.8,132,PRGLSH,ATCA, ,61344184.43,8697.175842,271735.6456
156,Polygon,157,19,Loamy, , ,15362815.09,22,FLCE,LATR,PLMU,2217269.929,3209.182513,19966.37857
157,Polygon,158,19,Loamy, , ,15362815.09,43,LATR,FLCE,PLMU,43342492.31,47335.75442,1050929.871
158,Polygon,159,19,Loamy, , ,15362815.09,47,LATR,GUSA,ERLE,1222034.019,5494.819196,1173467.019
159,Polygon,160,19,Loamy, , ,15362815.09,48,LATR,MUPO,PRGL,1829154.863,2555.184444,197718.3201
160,Polygon,161,19,Loamy, , ,15362815.09,52,LATR,PRGL,FLCE,47405692.14,139807.7749,12085205.68
161,Polygon,162,19,Loamy, , ,15362815.09,55,LATR,SCBR, ,965816.2125,3280.492305,60116.43385
162,Polygon,163,19,Loamy, , ,15362815.09,82,PRGL,MUPO,LATR,1090007.922,12012.2615,696398.5803
163,Polygon,164,19,Loamy, , ,15362815.09,85,PRGL,PLMU,MUPO,147505.9077,464.969853,3953.809895
164,Polygon,165,22,Sandy, , ,326489.6776,73,PRGL,ARPU,GUSA,1581777.474,542.779167,10335.10968
165,Polygon,166,22,Sandy, , ,326489.6776,87,PRGL,PLMU,SPAI,2179474.814,1385.024267,10696.35929
166,Polygon,167,22,Sandy, , ,326489.6776,95,PRGL,YUEL,ARPU,3571571.024,1690.470062,31620.99639
167,Polygon,168,22,Sandy, , ,326489.6776,105,PRGLD,ARPU, ,7035118.013,4364.059469,273837.2129
168,Polygon,169,23,Sandy, , ,3315708.291,43,LATR,FLCE,PLMU,43342492.31,5158.757755,58630.58422
169,Polygon,170,23,Sandy, , ,3315708.291,52,LATR,PRGL,FLCE,47405692.14,16408.54586,2714807.885
170,Polygon,171,23,Sandy, , ,3315708.291,54,LATR,PRGLD,FLCE,25483520.6,6924.586133,534325.9705
171,Polygon,172,23,Sandy, , ,3315708.291,55,LATR,SCBR, ,965816.2125,761.518509,7943.853298
172,Polygon,173,24,Sandy,Deep sand, ,151764991,3,ARPU,SPFL, ,583649.5255,4691.127892,450386.0159
173,Polygon,174,24,Sandy,Deep sand, ,151764991,4,ATCA,FLCE,PRGL,104277.7595,2994.311424,104277.7595
174,Polygon,175,24,Sandy,Deep sand, ,151764991,8,BOER,ARPU,YUEL,1697371.497,3044.918739,420330.3783
175,Polygon,176,24,Sandy,Deep sand, ,151764991,10,BOER,SCBR,YUEL,206364.1524,47.148455,59.990034
176,Polygon,177,24,Sandy,Deep sand, ,151764991,11,BOER,SPFL,PRGL,3191301.946,6172.386776,748223.5229
177,Polygon,178,24,Sandy,Deep sand, ,151764991,15,EPTR,PRGL,YUEL,56496.87696,1025.196005,56496.87696
178,Polygon,179,24,Sandy,Deep sand, ,151764991,17,EPTRD,PRGLD,YUEL,116963.9621,1241.856715,94928.07806
179,Polygon,180,24,Sandy,Deep sand, ,151764991,18,ERLE,SPFL,YUEL,417972.6868,3398.813395,417972.6868
180,Polygon,181,24,Sandy,Deep sand, ,151764991,28,FLCE,PLMU,SCBR,7147095.878,3343.029663,300772.0141
181,Polygon,182,24,Sandy,Deep sand, ,151764991,33,FLCE,SCBR,PLMU,17413694.84,3787.244356,133972.4367
182,Polygon,183,24,Sandy,Deep sand, ,151764991,34,FLCE,SPAI,SCBR,2576110.634,3649.963803,296618.4396
183,Polygon,184,24,Sandy,Deep sand, ,151764991,35,GUSA,BOER,YUEL,188418.1209,1451.411924,128149.5404
184,Polygon,185,24,Sandy,Deep sand, ,151764991,37,GUSA,SPFL,PRGL,107411.9576,2041.457358,107411.9576
185,Polygon,186,24,Sandy,Deep sand, ,151764991,45,LATR,FLCE,PRGLD,2099690.965,8653.491344,1124125.01
186,Polygon,187,24,Sandy,Deep sand, ,151764991,53,LATR,PRGLD, ,9460687.824,11043.09704,2616306.616
187,Polygon,188,24,Sandy,Deep sand, ,151764991,54,LATR,PRGLD,FLCE,25483520.6,21739.68319,4741239.118
188,Polygon,189,24,Sandy,Deep sand, ,151764991,57,PLMU, , ,397142.9198,1683.890685,51441.7736
189,Polygon,190,24,Sandy,Deep sand, ,151764991,58,PLMU,FLCE,SCBR,1163875.112,7015.442973,238970.6969
190,Polygon,191,24,Sandy,Deep sand, ,151764991,59,PLMU,MUPO,FLCE,83113.45844,1053.868324,37034.09319
191,Polygon,192,24,Sandy,Deep sand, ,151764991,61,PLMU,PRGL, ,189954.2659,3064.463456,189954.2659
192,Polygon,193,24,Sandy,Deep sand, ,151764991,63,PLMU,SCBR, ,1297601.537,1693.797431,71881.19571
193,Polygon,194,24,Sandy,Deep sand, ,151764991,64,PLMU,SCBR,FLCE,261641.6974,1987.096681,61231.30728
194,Polygon,195,24,Sandy,Deep sand, ,151764991,67,PLMU,SCBR,PRGL,1165251.326,1966.746387,97144.84871
195,Polygon,196,24,Sandy,Deep sand, ,151764991,74,PRGL,ARPU,YUEL,20480.73824,733.180109,15752.34292
196,Polygon,197,24,Sandy,Deep sand, ,151764991,75,PRGL,BOER, ,2136391.017,4825.429293,1168069.235
197,Polygon,198,24,Sandy,Deep sand, ,151764991,77,PRGL,BOER,SPFL,3243984.413,4527.635195,393878.7561
198,Polygon,199,24,Sandy,Deep sand, ,151764991,79,PRGL,FLCE,PLMU,3200987.036,4052.862491,216854.8331
199,Polygon,200,24,Sandy,Deep sand, ,151764991,81,PRGL,LATR,FLCE,500214.3077,1783.381991,64138.23589
200,Polygon,201,24,Sandy,Deep sand, ,151764991,83,PRGL,PLMU, ,2662502.849,10797.31051,383204.7402
201,Polygon,202,24,Sandy,Deep sand, ,151764991,86,PRGL,PLMU,SCBR,7980669.164,5676.334085,547167.137
202,Polygon,203,24,Sandy,Deep sand, ,151764991,87,PRGL,PLMU,SPAI,2179474.814,6470.849315,609627.4931
203,Polygon,204,24,Sandy,Deep sand, ,151764991,89,PRGL,SCBR, ,418134.7967,2980.573506,224223.2238
204,Polygon,205,24,Sandy,Deep sand, ,151764991,91,PRGL,SCBR,PLMU,5336197.438,388.879021,6438.97489
205,Polygon,206,24,Sandy,Deep sand, ,151764991,92,PRGL,SPFL, ,103282.5354,1379.075857,103282.5354
206,Polygon,207,24,Sandy,Deep sand, ,151764991,93,PRGL,SPFL,GUSA,21268255.85,30433.6697,9762939.425
207,Polygon,208,24,Sandy,Deep sand, ,151764991,94,PRGL,SPFL,YUEL,10553949.99,5083.873252,378232.4175
208,Polygon,209,24,Sandy,Deep sand, ,151764991,97,PRGL,YUEL,ERLE,54684.60865,890.725364,54684.60865
209,Polygon,210,24,Sandy,Deep sand, ,151764991,98,PRGL,YUEL,FLCE,1557292.909,2884.81581,374513.0506
