"FID","Shape..","OBJECTID","FID_JERVeg","VegUnite","ZST_DOM","ZND_DOM","ZRD_DOM","SUM_Shape_","FID_JER_Ec","ecosite1","SUM_Shape1","Shape_Leng","Shape_Area","FGUnite","Dom1FG","Dom2FG","Dom3FG"
"87","Polygon","88","43","HOFF spp.,Bare,","HOFF spp.","Bare","","596936.4658","11","Sandy","368111095.6","1076.973719","24362.82573","forb,Bare","forb","Bare",NA
"88","Polygon","89","45","LATR2,DAPU7,","LATR2","DAPU7","","182033.8421","1","Bottomland","35299777.56","2310.162933","182033.8421","shrub,PG","shrub","PG",NA
"89","Polygon","90","46","LATR2,FLCE,ACBR","LATR2","FLCE","ACBR","202721.8321","3","Deep sand","119701060","1830.456952","202721.8321","shrub,shrub,tree","shrub","shrub","tree"
"90","Polygon","91","47","LATR2,FLCE,BOER4","LATR2","FLCE","BOER4","4864381.891","1","Bottomland","35299777.56","15918.57128","2205341.911","shrub,shrub,PG","shrub","shrub","PG"
"91","Polygon","92","47","LATR2,FLCE,BOER4","LATR2","FLCE","BOER4","4864381.891","5","Gravelly","53527326.23","5674.735044","770963.9741","shrub,shrub,PG","shrub","shrub","PG"
"92","Polygon","93","47","LATR2,FLCE,BOER4","LATR2","FLCE","BOER4","4864381.891","8","Loamy","15362815.09","4328.772202","140072.5585","shrub,shrub,PG","shrub","shrub","PG"
"93","Polygon","94","47","LATR2,FLCE,BOER4","LATR2","FLCE","BOER4","4864381.891","11","Sandy","368111095.6","8815.498353","1748003.45","shrub,shrub,PG","shrub","shrub","PG"
"94","Polygon","95","48","LATR2,FLCE,DAPU7","LATR2","FLCE","DAPU7","245869.6369","11","Sandy","368111095.6","4375.465985","245869.6369","shrub,shrub,PG","shrub","shrub","PG"
"95","Polygon","96","49","LATR2,FLCE,GUSA2","LATR2","FLCE","GUSA2","6012665.439","1","Bottomland","35299777.56","10581.61528","1317807.53","shrub,shrub,subshrub","shrub","shrub","subshrub"
"96","Polygon","97","49","LATR2,FLCE,GUSA2","LATR2","FLCE","GUSA2","6012665.439","3","Deep sand","119701060","5275.165337","621875.4876","shrub,shrub,subshrub","shrub","shrub","subshrub"
